|character|text|type|character_clean|gender
951||"SECRETARY
May I ask the nature of your call,
Mister...?
EASY
Rawlins. But I'm not so sure he'd
want me to tell you.
SECRETARY
I'm quite sure, Mr. Rawlins, that
whatever you know is nothing I
can't know as well.
EASY
Okay. Well, anyway, tell him I'm
here with information about that
little chippy of his that dumped
him.
SECRETARY
Is this some sort of joke?
O.S. VOICE
Uh... Excuse me...
64.
68   CONTINUED:                                                     68"|unknown||
952||"Easy and the secretary turn to see a TALL MAN in a dark grey
suit with bushy black hair and thick eyebrows standing in
the doorway. He forces a smile and comes out."|stage direction||
953|BAXTER|Mr. Rawlins was it?|speech|BAXTER|M
954||He holds out his hand and Easy shakes it.|stage direction||
955||EASY|unknown||
956|BAXTER|Yes.   Mister...|speech|BAXTER|M
957|BAXTER|Baxter.|speech|BAXTER|M
958||(to the secretary)|unknown||
959|BAXTER|I'll take care of this.|speech|BAXTER|M
960||(and back to Easy)|unknown||
961|BAXTER|Why don't you come with me, sir?|speech|BAXTER|M
962||They walk through the door into|stage direction||
963||69   A HALLWAY                                                      69|unknown||
964|BAXTER|"Not very smart talking about Mr.
Carter's business to a secretary."|speech|BAXTER|M
965|EASY|"I don't wanna hear it, man. It's
too much goin' on for me to give a
damn about what you think is smart."|speech|EASY|M
966||"Baxter bristles up and slows down his walk, about to put
Easy in his place. But Easy slows down too and squares up
on him. Baxter reconsiders and leads the way up a stone
staircase."|stage direction||
967||70   INT. CARTER'S OFFICE                                           70|unknown||
968||"Baxter ushers Easy into a huge elegantly furnished room more
closely resembling a hall than an office with large arched
doors and windows leading out onto a stone veranda
overlooking a canyon.
Alone looking out at the greenery on the opposite hillside
is TODD CARTER.
Baxter walks out and speaks with Carter, while Easy watches
them from inside the office. The rich man perks up with
interest and hurries inside with Baxter who throws Easy a
dirty look on his way out. He pauses uncertainly wearing a
simple Sears Roebuck-looking tan suit with a plain open-
collared white shirt. The dark circles under his eyes show
nights without sleep."|stage direction||
969||"65.
70   CONTINUED:                                                    70
CARTER"|unknown||
970|EASY|Mr. Rawlins.|speech|EASY|M
971||"He runs a hand through his thinning red hair, and offers an
overstuffed sofa. They sit on either end."|stage direction||
972||(distraught)|unknown||
