;vocab_male;vocab_male_count;vocab_female;vocab_female_count
884;spock;17;wiegler;6
885;surrogate;17;gus;6
886;location;17;carrigan;6
887;negotiator;17;effort;6
888;iron;17;max;6
889;explosion;17;concern;6
890;touch;17;sure;6
891;throw;17;mrs;6
892;robert;17;crane;6
893;skull;17;kepheus;6
894;cloud;17;reaction;6
895;tongue;17;vacation;6
896;give;17;spirit;6
897;bone;17;cure;6
898;save;17;driver;6
899;highway;17;bottle;6
900;soul;17;summer;6
901;switch;17;thinking;6
902;knife;17;color;6
903;file;17;fortune;6
904;knock;17;tube;6
905;climb;17;exit;6
906;wish;17;island;6
907;enjoy;17;prepare;6
908;hospital;17;heh;6
909;conference;17;bucket;6
910;wound;17;claire;6
911;fury;17;song;6
912;contract;17;list;6
913;stick;17;bench;6
914;feed;17;gang;6
915;cigarette;17;holy;6
916;dump;17;motherfucker;6
917;emperor;17;yero;6
918;goddammit;16;company;6
919;fix;16;glad;6
920;listen;16;doug;6
921;stanley;16;langley;6
922;casket;16;radiation;6
923;stewart;16;member;6
924;grace;16;miss;6
925;insane;16;hill;6
926;chase;16;flame;6
927;send;16;dirt;6
928;counter;16;gut;6
929;motorcycle;16;threat;6
930;stomach;16;elevator;6
931;wire;16;giant;6
932;network;16;coulson;6
933;dammit;16;cry;6
934;israel;16;barn;6
935;franklin;16;rover;6
936;eh;16;quail;6
937;fool;16;meeting;6
938;event;16;whoa;6
939;pum;16;century;6
940;liz;16;demon;6
941;fleet;16;machinery;6
942;go;16;signal;6
943;route;16;danger;6
944;lunch;16;range;6
945;balcony;16;dom;6
946;combination;16;heimdall;6
947;interest;16;club;6
948;clerk;16;garden;6
949;sake;16;nion;6
950;mail;16;casino;6
951;chris;16;climb;6
952;pleasure;16;rico;6
953;decision;16;lung;6
954;bernie;16;patch;6
955;sack;16;nick;6
956;repeat;16;owner;6
957;minister;16;enforcement;6
958;glad;16;bare;6
959;intelligence;16;border;6
960;beauty;15;rodger;6
